PDF#76-1746: QM=Calculated; d=Calculated; I=(Unknown)
Gypsum
CaSO4(H2O)2	
Radiation=CuKa1	Lambda=1.5406	Filter=
Calibration=	2T=10.348-71.948	I/Ic(RIR)=5.05
Ref: Level-1 PDF

Monoclinic,  C2/m(12)	Z=4	mp=
CELL: 10.47 x 15.15 x 6.28 <90.0 x 98.97 x 90.0>	P.S=
Density(c)=1.162	Density(m)=	Mwt=	Vol=984.0	
Ref: Ibid.

Strong Lines: 7.57/X  3.10/2  5.17/1  2.87/1  2.86/1  4.27/1  6.20/1

2-Theta    d(?)   I(f)  ( h k l)    Theta  1/(2d)   2pi/d  n^2  
 10.348  8.5415    1.4  ( 1 1 0)    5.174  0.0585  0.7356     
 11.673  7.5750  100.0  ( 0 2 0)    5.836  0.0660  0.8295     
 14.266  6.2032    6.1  ( 0 0 1)    7.133  0.0806  1.0129     
 16.531  5.3580    0.1  (-1 1 1)    8.266  0.0933  1.1727     
 17.134  5.1710   13.3  ( 2 0 0)    8.567  0.0967  1.2151     
 18.472  4.7993    0.2  ( 0 2 1)    9.236  0.1042  1.3092     
 18.715  4.7375    0.9  ( 1 1 1)    9.357  0.1055  1.3263     
 19.546  4.5379    0.8  ( 1 3 0)    9.773  0.1102  1.3846     
 20.782  4.2708    9.3  ( 2 2 0)   10.391  0.1171  1.4712     
 23.469  3.7875    1.0  (-1 3 1)   11.734  0.1320  1.6589     
 23.704  3.7505    0.1  (-2 2 1)   11.852  0.1333  1.6753     
 24.042  3.6984    0.4  ( 2 0 1)   12.021  0.1352  1.6989     
 25.073  3.5486    1.1  ( 1 3 1)   12.537  0.1409  1.7706     
 26.495  3.3614    0.3  ( 3 1 0)   13.247  0.1487  1.8692     
 26.803  3.3235    0.1  ( 2 2 1)   13.401  0.1504  1.8906     
 27.571  3.2326    4.7  ( 0 4 1)   13.785  0.1547  1.9437     
 28.760  3.1016   15.2  ( 0 0 2)   14.380  0.1612  2.0258     
 29.203  3.0555    2.7  ( 2 4 0)   14.601  0.1636  2.0563     
 30.722  2.9078    0.5  ( 1 5 0)   15.361  0.1720  2.1608     
 31.134  2.8703   11.9  ( 0 2 2)   15.567  0.1742  2.1890     
