Unnamed: 0,NB1,AP1,Unnamed: 3,Unnamed: 4,Unnamed: 5,CF1,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Input (kg),P-fertiliser,OFM,Waste,Air,P-fertiliser,OFM,Waste,Air
P,2.2,0.461,0,0.539,0,0,0,1,0
N,3.9,0.106,0,0.894,0,0,0,0,1
K,0.23,0.007,0,0.993,0,0,0,1,0
C,36,0.051,0,0,0.948,0,0,0,1
As,0.00035,0,0,0.995,0.005,0,0,1,0
Hg,5.2e-05,0,0,0.992,0.008,0,0,1,0
Cd,8.5e-05,0.002,0,0.997,0,0,0,1,0
Cr,0.0033,0,0,0.999,0.001,0,0,1,0
Cu,0.027,0,0,1,0,0,0,1,0
Ni,0.0022,0,0,0.999,0.001,0,0,1,0
Pb,0.0033,0,0,0.998,0.002,0,0,1,0
Zn,0.063,0,0,0.999,0.001,0,0,1,0
,NB2,AP2,,,,CF2,,,
,Input (kg),P-fertiliser,OFM,Waste,Air,P-fertiliser,OFM,Waste,Air
P,1.1,1,0,0,0,0,1,0,0
N,3.2,0,0,0,1,0,0.96,0,0.041
K,1.9,1,0,0,0,0,1,0,0
C,30,0.006,0,0,0.994,0,0.988,0,0.012
As,2.7e-05,0.991,0,0,0.009,0,1,0,0
Hg,0,0,0,0,0,0,0,0,0
Cd,1.6e-05,0.999,0,0,0.001,0,1,0,0
Cr,0.0003,0.999,0,0,0.001,0,1,0,0
Cu,0.0061,1,0,0,0,0,1,0,0
Ni,0.0035,0.998,0,0,0.002,0,1,0,0
Pb,0.00015,0.995,0,0,0.005,0,1,0,0
Zn,0.031,0.999,0,0,0.001,0,1,0,0
,NB3,AP3,,,,CF3,,,
,Input (kg),P-fertiliser,OFM,Waste,Air,P-fertiliser,OFM,Waste,Air
P,1.1,0.98,0,0.02,0,0,0,1,0
N,2,0,0,0,1,0,0,0,1
K,0.12,1,0,0,0,0,0,1,0
C,19,0,0,0,1,0,0,0,1
As,0.00019,0.323,0,0.668,0.009,0,0,1,0
Hg,2.7e-05,0.384,0,0.606,0.009,0,0,1,0
Cd,4.4e-05,0.125,0,0.874,0.001,0,0,1,0
Cr,0.0017,0.999,0,0,0.001,0,0,1,0
Cu,0.014,0.65,0,0.35,0,0,0,1,0
Ni,0.0012,0.73,0,0.269,0.001,0,0,1,0
Pb,0.0017,0.52,0,0.475,0.005,0,0,1,0
Zn,0.033,0.789,0,0.209,0.001,0,0,1,0
,NB4,AP4,,,,CF4,,,
,Input (kg),P-fertiliser,OFM,Waste,Air,P-fertiliser,OFM,Waste,Air
P,1,0.99,0,0.01,0,0,0,1,0
N,1.8,0,0,0,1,0,0,0,1
K,0.11,0,0,1,0,0,0,1,0
C,17,0,0,0,1,0,0,0,1
As,0.00016,0.004,0,0.987,0.009,0,0,1,0
Hg,2.4e-05,0.026,0,0.964,0.009,0,0,1,0
Cd,4e-05,0.016,0,0.983,0.001,0,0,1,0
Cr,0.0015,0.011,0,0.988,0.001,0,0,1,0
Cu,0.012,0.001,0,0.998,0,0,0,1,0
Ni,0.001,0.001,0,0.998,0.001,0,0,1,0
Pb,0.0015,0,0,0.995,0.005,0,0,1,0
Zn,0.029,0,0,0.998,0.001,0,0,1,0
,NB5,AP5,,,,CF5,,,
,Input (kg),P-fertiliser,OFM,Waste,Air,P-fertiliser,OFM,Waste,Air
P,1,0.999,0,0.001,0,0,0,1,0
N,2.8,0,0,0,1,0,0,0,1
K,1.7,1,0,0,0,0,0,1,0
C,12,0,0,0.001,0.999,0,0,0,1
As,0,0,0,0,0,0,0,0,0
Hg,1.5e-07,0.263,0,0.728,0.009,0,0,1,0
Cd,1.5e-05,0.993,0,0.006,0.001,0,0,1,0
Cr,0.00016,0.995,0,0.003,0.001,0,0,1,0
Cu,0.00022,0.974,0,0.025,0,0,0,1,0
Ni,7e-05,0.991,0,0.007,0.002,0,0,1,0
Pb,7.9e-05,0.947,0,0.048,0.005,0,0,1,0
Zn,0.0024,0.997,0,0.002,0.001,0,0,1,0
,NB6,AP6,,,,CF6,,,
,Input (kg),P-fertiliser,OFM,Waste,Air,P-fertiliser,OFM,Waste,Air
P,1.9,0.62,0.38,0,0,0,1,0,0
N,8.9,0.094,0.697,0,0.208,0,0.995,0,0.005
K,2.9,0.25,0.75,0,0,0,1,0,0
C,62,0.149,0.35,0,0.501,0,0.588,0,0.412
As,0.00038,0.9,0.1,0,0,0,1,0,0
Hg,0,0,0,0,0,0,0,0,0
Cd,3.6e-05,0.301,0.699,0,0,0,1,0,0
Cr,0.001,0.328,0.672,0,0,0,1,0,0
Cu,0.011,0.605,0.395,0,0,0,1,0,0
Ni,0.0011,0.057,0.943,0,0,0,1,0,0
Pb,0.00073,0.404,0.596,0,0,0,1,0,0
Zn,0.063,0.426,0.574,0,0,0,1,0,0
,RP,RP,,,,,,,
,Input (kg),P-fertiliser,OFM,Waste,Air,,,,
P,1,0.999,0,0.001,0,,,,
N,0,0,0,0,0,,,,
K,0,0,0,0,0,,,,
C,0,0,0,0,0,,,,
As,5.6e-05,0.991,0,0.009,0,,,,
Hg,7.4e-07,0.266,0,0.734,0,,,,
Cd,0.0002,0.994,0,0.006,0,,,,
Cr,0.0011,0.997,0,0.003,0,,,,
Cu,0.00038,0.975,0,0.025,0,,,,
Ni,0.00021,0.993,0,0.007,0,,,,
Pb,0.0001,0.952,0,0.048,0,,,,
Zn,0.0019,1,0,0,0,,,,
