Unnamed: 0,Unit,Ashdec®,Ecophos®,MBM acidulation,SSP acidulation
Capacity,,,,,
Usage rate ,t a-1,13800,15000,15000,15000
Life time ,a,20,20,20,20
,,,,,
Inputs,,,,,
Feedstock-type,,Ash,Ash,Ash,Phosphate-rock
Feedstock-quantity,t ,1,1,1,1
Ash-P,kg P t-1,122.5,122.5,98.34,135
CaOH2,kg t-1,18,0,0,0
Electricity,kWh t-1,90,30,62.29,33.53
H2SO4,kg t-1,0 ,0,458,698.5
HCl,kg t-1,0 ,333,0,0
Heat,kWh t-1,388.89,2035,0,0
NaOH,kg t-1,15,0,0,0
NaSO4,kg t-1,370,0,0,0
Natural gas,MJ t-1,0,0,0.348,0.46101
Water,kg t-1,290,0,0,0
Labour,manh t-1,0.92,0.56,0.56,0.56
,,,,,
Outputs,,,,,
CaCl2,kg t-1,0,67,0,0
FeCl3,kg t-1,0,41,0,0
P (non-granulated),kg P t-1,120.1α,121.3,98.28,134.9
Waste,kg TS t-1,1.4,5.4,2,0.1
,,,,,
Fixed costs,,,,,
CAPEX,€,11700000,2400000,2400000,2400000
Insurance,%CAPEX,1.5,1.5,1.5,1.5
Maintenance,%CAPEX,3,3,3,3
,,,,,
Fixed costs (per t),,,,,
CAPEX,€ t-1,68,12.8,12.8,12.8
Insurance,€ t-1,4.2,2.4,2.4,2.4
Maintenance,€ t-1,25.4,4.8,4.8,4.8
α Does not require granulation. ,,,,,
β Annualised (Eq. 1 in Supplementary Methods) and divided by the annual usage rate (Eq. 2 in Supplementary Methods).,,,,,
