Unnamed: 0,Unit,Composting 
Capacity,,
Annual usage rate ,t a-1,73000
Life time ,a,20
,,
Inputs,,
Feedstock-type,,PIM (dw)
Feedstock-quantity,t ,1
Diesel,L t-1,1
Electricity,kWh t-1,6.3
Labour,manh  t-1,0.5
,,
Outputs,,
Compost,kg t-1,400
,,
Air emissions (biofilters),,
"Carbon dioxide, non-fossil",air,62
"Methane, non-fossil",air,0.008
Nitrogen,air,0.004
Ammonia,air,0.024
Terpenes,air,0.00011
Hydrogen sulphide,air,1.7e-05
Dinitrogen monoxide,air,0.045
,,
Fixed costs,,
CAPEXα,€,16000000
Insurance,%CAPEX,1.5
Maintenance,%CAPEX,3
,,
Fixed costs (per t),,
CAPEXβ,€ t-1,17.5
Insurance,€ t-1,3.3
Maintenance,€ t-1,6.5
α Calculated using the database reported in ref. 17.,,
β Annualised (Eq. 1 in Supplementary Methods) and divided by the annual usage rate (Eq. 2 in Supplementary Methods).,,
