Property,Unit,SEW ,SEW .1,POM ,MBM ,PIM ,PIM .1,PIM .2
,,(thick),(dg dw),(raw),(raw),(raw),(dw),(cp)
Water,%ww,95,75,44.8,2.9,95,75,60
TS,%ww,5,25,55.2,97.1,5,25,40
VS,%TS,75,57.5,78.5,66.6,66.2,72,43
Ash,%TS,25,42.5,21.5,33.4,33.8,28,57
LHVdb ,MJ kg-1 TS,18.8,13.5,15.3,10.1,18.8,21,13
LHVwb ,MJ kg-1 ww,-1.4,1.54,7.35,9.74,2.9,3.3,3.7
CH4 pot,NL kg-1 VS,546,nr,416,519,450,450,nr
C ,%TS,40,35,39,39,35,41,26
K,%TS,0.3,0.56,2.5,0.57,1.6,0.73,1.1
N,%TS,4.4,9.3,4.2,9.1,5,2.7,3
P,%TS,2.5,5.2,1.4,3.3,1.1,1.2,1.9
As,%TS,0.0004,0.00085,3.6e-05,0,0.00021,0.00034,0.00054
Cd,%TS,9.6e-05,0.0002,2.1e-05,5e-05,2e-05,1.1e-05,1.7e-05
Cr,%TS,0.0037,0.0078,0.00039,0.00052,0.00056,0.00033,0.00052
Cu,%TS,0.03,0.064,0.0079,0.00073,0.0062,0.0068,0.011
Hg,%TS,5.9e-05,0.00013,0,5e-07,0,0,0
Ni,%TS,0.0025,0.0053,0.0046,0.00023,0.00063,6.5e-05,0.0001
Pb,%TS,0.0037,0.0079,0.0002,0.00026,0.00041,0.0003,0.00047
Zn,%TS,0.071,0.15,0.04,0.008,0.035,0.027,0.043
